TrialID,SubjID,block,btrial,tord,RT,Selection
660,6,7,5,60,8742,0
661,6,20,1,61,6029,0
662,6,20,2,62,3615,0
663,6,20,3,63,2213,0
664,6,20,4,64,3055,0
665,6,20,5,65,2834,1
666,6,17,1,66,3505,0
667,6,17,2,67,5518,1
668,6,17,3,68,2664,1
669,6,17,4,69,1762,1
670,6,17,5,70,1893,0
671,6,3,1,71,6490,1
672,6,3,2,72,4466,0
673,6,3,3,73,2704,1
674,6,3,4,74,4376,0
675,6,3,5,75,6749,0
676,6,1,1,76,6098,1
677,6,1,2,77,4937,1
678,6,1,3,78,1683,0
679,6,1,4,79,2283,1
680,6,1,5,80,6670,0
681,6,8,1,81,5178,1
682,6,8,2,82,3836,0
683,6,8,3,83,1692,1
684,6,8,4,84,2384,1
685,6,8,5,85,8592,0
686,6,24,1,86,7020,0
687,6,24,2,87,3615,0
688,6,24,3,88,1312,0
689,6,24,4,89,2123,0
690,6,24,5,90,3855,1
691,6,18,1,91,5097,1
692,6,18,2,92,3555,1
693,6,18,3,93,1983,0
694,6,18,4,94,3235,1
695,6,18,5,95,3816,0
696,6,15,1,96,6319,1
697,6,15,2,97,3055,1
698,6,15,3,98,1453,0
699,6,15,4,99,1803,0
700,6,15,5,100,3495,0
701,6,19,1,101,6159,1
702,6,19,2,102,8733,0
703,6,19,3,103,1833,0
704,6,19,4,104,3965,0
705,6,19,5,105,5158,0
706,6,4,1,106,5778,0
707,6,4,2,107,7111,0
708,6,4,3,108,1683,1
709,6,4,4,109,2163,0
710,6,4,5,110,6890,1
711,6,14,1,111,5958,0
712,6,14,2,112,4847,0
713,6,14,3,113,2043,0
714,6,14,4,114,2904,0
715,6,14,5,115,4436,0
716,6,6,1,116,4627,0
717,6,6,2,117,3084,1
718,6,6,3,118,2073,1
719,6,6,4,119,2864,1
720,6,6,5,120,6329,0
721,7,11,1,1,11557,1
722,7,11,2,2,5508,1
723,7,11,3,3,3815,0
724,7,11,4,4,6750,1
725,7,11,5,5,14110,0
726,7,24,1,6,8963,0
727,7,24,2,7,4367,0
728,7,24,3,8,2023,0
729,7,24,4,9,10875,0
730,7,24,5,10,5097,1
731,7,2,1,11,7251,1
732,7,2,2,12,6990,0
733,7,2,3,13,3244,0
734,7,2,4,14,3315,0
735,7,2,5,15,8502,1
736,7,12,1,16,4827,1
737,7,12,2,17,5077,1
738,7,12,3,18,5398,1
739,7,12,4,19,2754,1
740,7,12,5,20,7531,0
741,7,22,1,21,7822,0
742,7,22,2,22,5037,0
743,7,22,3,23,2554,0
744,7,22,4,24,5258,1
745,7,22,5,25,4146,0
746,7,15,1,26,7250,1
747,7,15,2,27,4667,1
748,7,15,3,28,2103,0
749,7,15,4,29,2704,0
750,7,15,5,30,3825,0
751,7,4,1,31,7871,0
752,7,4,2,32,8312,0
753,7,4,3,33,5778,1
754,7,4,4,34,3425,0
755,7,4,5,35,11246,1
756,7,3,1,36,11687,1
757,7,3,2,37,5698,0
758,7,3,3,38,1712,1
759,7,3,4,39,3916,0
760,7,3,5,40,7991,0
761,7,13,1,41,5518,1
762,7,13,2,42,6820,1
763,7,13,3,43,4016,1
764,7,13,4,44,5087,1
765,7,13,5,45,4417,1
766,7,18,1,46,7350,1
767,7,18,2,47,4166,1
768,7,18,3,48,2563,0
769,7,18,4,49,4186,1
770,7,18,5,50,5108,0
771,7,5,1,51,6530,1
772,7,5,2,52,6249,1
773,7,5,3,53,2553,0
774,7,5,4,54,2954,1
775,7,5,5,55,9815,1
776,7,17,1,56,6920,0
777,7,17,2,57,9083,1
778,7,17,3,58,2553,1
779,7,17,4,59,1983,1
780,7,17,5,60,2634,0
781,7,8,1,61,4897,1
782,7,8,2,62,3485,0
783,7,8,3,63,2353,1
784,7,8,4,64,2183,1
785,7,8,5,65,10305,0
786,7,19,1,66,15702,1
787,7,19,2,67,12368,0
788,7,19,3,68,2664,0
789,7,19,4,69,6539,0
790,7,19,5,70,6159,0
791,7,7,1,71,9343,1
792,7,7,2,72,6168,1
793,7,7,3,73,2263,1
794,7,7,4,74,4557,0
795,7,7,5,75,10325,0
796,7,6,1,76,6249,0
797,7,6,2,77,7911,1
798,7,6,3,78,1873,1
799,7,6,4,79,2474,1
800,7,6,5,80,8743,0
801,7,21,1,81,15672,0
802,7,21,2,82,8903,1
803,7,21,3,83,2073,1
804,7,21,4,84,5358,0
805,7,21,5,85,4317,1
806,7,14,1,86,10354,0
807,7,14,2,87,10555,0
808,7,14,3,88,1902,0
809,7,14,4,89,4997,0
810,7,14,5,90,4086,0
811,7,1,1,91,4928,1
812,7,1,2,92,6279,1
813,7,1,3,93,3675,0
814,7,1,4,94,3595,1
815,7,1,5,95,9404,0
816,7,20,1,96,6770,0
817,7,20,2,97,6379,0
818,7,20,3,98,3515,0
819,7,20,4,99,4176,0
820,7,20,5,100,4507,1
821,7,10,1,101,8132,0
822,7,10,2,102,5588,0
823,7,10,3,103,3024,1
824,7,10,4,104,2383,1
825,7,10,5,105,15212,0
